epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,52.2939,0.91964,0.91508,2.28432,0.99619,0,0.82421,0.66667,0.76547,0.37695,0.82421,0.66667,0.76012,0.29044,1.50045,2.55859,2.3553,1.58752,0,0.000730696,0.000730696,0.000730696
30,53.8828,1.02383,1.16028,2.41492,1.14648,0,0.85712,0.66654,0.77014,0.40119,0.85712,0.66654,0.76793,0.37149,1.47217,2.23206,2.16621,1.47604,0,0.00074822,0.00074822,0.00074822
31,55.4498,0.95697,1.0507,2.34025,1.04156,0,0.85712,0.66654,0.77014,0.40119,0.85712,0.66654,0.76793,0.37149,1.47217,2.23206,2.16621,1.47604,0,0.000765195,0.000765195,0.000765195
32,57.1086,1.07066,1.08735,2.43019,1.02513,0,0.74688,0.66667,0.8324,0.4107,0.74688,0.66667,0.8225,0.44106,1.37286,1.90666,2.04953,1.3041,0,0.000781619,0.000781619,0.000781619
33,58.7163,0.94755,0.96118,2.33746,1.04048,0,0.81183,0.66667,0.80577,0.46663,0.81183,0.66667,0.78417,0.48503,1.3624,1.84526,1.87755,1.22582,0,0.000797493,0.000797493,0.000797493
34,60.2891,1.02557,0.91927,2.13934,1.0831,0,0.81183,0.66667,0.80577,0.46663,0.81183,0.66667,0.78417,0.48503,1.3624,1.84526,1.87755,1.22582,0,0.000812817,0.000812817,0.000812817
35,61.8994,0.90837,0.95636,2.32414,1.00059,0,0.85608,0.66172,0.81429,0.47846,0.85608,0.66172,0.73799,0.45336,1.4065,2.18092,1.82295,1.24724,0,0.00082759,0.00082759,0.00082759
36,63.5062,0.97404,0.99044,2.34697,1.0298,0,0.86925,0.74202,0.81442,0.43273,0.86925,0.74202,0.76918,0.45912,1.53441,2.58202,1.6411,1.26366,0,0.000841814,0.000841814,0.000841814
37,65.0692,1.03232,0.89994,2.14491,1.10345,0,0.86925,0.74202,0.81442,0.43273,0.86925,0.74202,0.76918,0.45912,1.53441,2.58202,1.6411,1.26366,0,0.000855488,0.000855488,0.000855488
38,66.6662,0.95917,1.01214,2.16771,1.04567,0,0.84417,0.77778,0.79111,0.40123,0.84417,0.77778,0.76958,0.47552,1.58825,2.62576,1.745,1.28683,0,0.000868611,0.000868611,0.000868611
39,68.2572,0.91406,0.90573,2.17095,1.02706,0,0.87332,0.76732,0.82094,0.42548,0.87332,0.76732,0.80662,0.50196,1.59282,2.41807,1.71938,1.3143,0,0.000881185,0.000881185,0.000881185
40,69.8501,0.99845,0.94272,2.24841,1.04154,0,0.87332,0.76732,0.82094,0.42548,0.87332,0.76732,0.80662,0.50196,1.59282,2.41807,1.71938,1.3143,0,0.000893208,0.000893208,0.000893208
41,71.4449,1.03683,1.09967,2.33043,1.0633,0,0.83654,0.66667,0.74273,0.36518,0.83654,0.66667,0.73457,0.45483,1.5869,2.20817,1.81843,1.33062,0,0.000904681,0.000904681,0.000904681
42,73.2221,0.91649,0.89331,2.15379,1.03891,0,0.83823,0.66667,0.71853,0.32569,0.83823,0.66667,0.71031,0.44558,1.61229,1.84938,1.82182,1.32995,0,0.000915604,0.000915604,0.000915604
43,74.8058,0.82607,0.94149,2.0591,1.02864,0,0.83823,0.66667,0.71853,0.32569,0.83823,0.66667,0.71031,0.44558,1.61229,1.84938,1.82182,1.32995,0,0.000925977,0.000925977,0.000925977
44,76.3984,1.14246,1.16734,2.32179,1.09383,0,0.6657,0.66667,0.69513,0.33969,0.6657,0.66667,0.68297,0.44707,1.48747,1.7193,1.8874,1.36715,0,0.0009358,0.0009358,0.0009358
45,77.9608,0.94239,1.05897,2.07306,1.03178,0,0.6657,0.66667,0.69513,0.33969,0.6657,0.66667,0.68297,0.44707,1.48747,1.7193,1.8874,1.36715,0,0.000945072,0.000945072,0.000945072
46,79.5608,0.78615,0.89994,2.08829,1.01709,0,0.49684,0.76865,0.62857,0.3122,0.49684,0.76865,0.62624,0.39243,1.53047,1.73617,2.08425,1.47976,0,0.000953795,0.000953795,0.000953795
47,81.1278,1.14434,1.12852,2.34336,1.12378,0,0.49684,0.76865,0.62857,0.3122,0.49684,0.76865,0.62624,0.39243,1.53047,1.73617,2.08425,1.47976,0,0.000961967,0.000961967,0.000961967
48,82.714,1.00653,0.93889,2.01775,1.04772,0,0.70577,0.53569,0.60148,0.2815,0.70577,0.53569,0.59887,0.36077,1.52224,1.79614,2.40798,1.56423,0,0.00096959,0.00096959,0.00096959
49,84.3138,0.9991,1.19946,2.13159,1.06624,0,0.70577,0.53569,0.60148,0.2815,0.70577,0.53569,0.59887,0.36077,1.52224,1.79614,2.40798,1.56423,0,0.000976662,0.000976662,0.000976662
50,85.9162,0.95755,0.82729,2.20853,1.07381,0,0.81268,0.55556,0.67433,0.31529,0.81268,0.55556,0.67058,0.39964,1.53196,1.63589,2.24508,1.48818,0,0.000983184,0.000983184,0.000983184
51,87.5467,0.98184,1.10934,2.06959,1.07212,0,0.81268,0.55556,0.67433,0.31529,0.81268,0.55556,0.67058,0.39964,1.53196,1.63589,2.24508,1.48818,0,0.000979362,0.000979362,0.000979362
52,89.2018,0.94882,1.06495,2.09493,1.07058,0,0.81497,0.55556,0.68406,0.35314,0.81497,0.55556,0.68406,0.42883,1.42667,1.58701,1.97632,1.30491,0,0.00096561,0.00096561,0.00096561
